timestamp,symbol,estado,ratio,intensidad
2026-04-17 07:44:22,SOLUSDT,FLUJO_NORMAL,0.23,BAJA
2026-04-17 07:44:22,BNBUSDT,FLUJO_NORMAL,0.63,BAJA
2026-04-17 07:44:22,AVAXUSDT,FLUJO_NORMAL,1.0,BAJA
2026-04-17 07:45:24,BTCUSDT,FLUJO_NORMAL,0.74,BAJA
2026-04-17 07:45:24,ETHUSDT,FLUJO_NORMAL,0.18,BAJA
2026-04-17 07:45:24,SOLUSDT,FLUJO_NORMAL,0.23,BAJA
2026-04-17 07:45:24,BNBUSDT,FLUJO_NORMAL,0.19,BAJA
2026-04-17 07:45:24,AVAXUSDT,FLUJO_NORMAL,0.12,BAJA
2026-04-17 07:46:27,BTCUSDT,FLUJO_NORMAL,1.53,BAJA
2026-04-17 07:46:27,ETHUSDT,FLUJO_NORMAL,0.76,BAJA
2026-04-17 07:46:27,SOLUSDT,INYECCION_GAS,3.6,ALTA
2026-04-17 07:46:27,BNBUSDT,FLUJO_NORMAL,1.21,BAJA
2026-04-17 07:46:27,AVAXUSDT,FLUJO_NORMAL,0.17,BAJA
2026-04-17 07:47:30,BTCUSDT,FLUJO_NORMAL,0.72,BAJA
2026-04-17 07:47:30,ETHUSDT,FLUJO_NORMAL,0.41,BAJA
2026-04-17 07:47:30,SOLUSDT,FLUJO_NORMAL,0.35,BAJA
2026-04-17 07:47:30,BNBUSDT,FLUJO_NORMAL,0.15,BAJA
2026-04-17 07:47:30,AVAXUSDT,FLUJO_NORMAL,1.2,BAJA
2026-04-17 07:48:34,BTCUSDT,FLUJO_NORMAL,0.98,BAJA
2026-04-17 07:48:34,ETHUSDT,FLUJO_NORMAL,0.67,BAJA
2026-04-17 07:48:34,SOLUSDT,FLUJO_NORMAL,0.54,BAJA
2026-04-17 07:48:34,BNBUSDT,FLUJO_NORMAL,0.34,BAJA
2026-04-17 07:48:34,AVAXUSDT,FLUJO_NORMAL,1.21,BAJA
2026-04-17 07:49:36,BTCUSDT,FLUJO_NORMAL,0.74,BAJA
2026-04-17 07:49:36,ETHUSDT,FLUJO_NORMAL,0.44,BAJA
2026-04-17 07:49:36,SOLUSDT,FLUJO_NORMAL,0.57,BAJA
2026-04-17 07:49:36,BNBUSDT,FLUJO_NORMAL,0.89,BAJA
2026-04-17 07:49:36,AVAXUSDT,FLUJO_NORMAL,1.04,BAJA
2026-04-17 07:50:40,BTCUSDT,FLUJO_NORMAL,0.23,BAJA
2026-04-17 07:50:40,ETHUSDT,FLUJO_NORMAL,0.62,BAJA
2026-04-17 07:50:40,SOLUSDT,FLUJO_NORMAL,1.02,BAJA
2026-04-17 07:50:40,BNBUSDT,FLUJO_NORMAL,0.19,BAJA
2026-04-17 07:50:40,AVAXUSDT,FLUJO_NORMAL,0.28,BAJA
2026-04-17 07:51:44,BTCUSDT,FLUJO_NORMAL,0.22,BAJA
2026-04-17 07:51:44,ETHUSDT,FLUJO_NORMAL,0.3,BAJA
2026-04-17 07:51:44,SOLUSDT,FLUJO_NORMAL,0.28,BAJA
2026-04-17 07:51:44,BNBUSDT,FLUJO_NORMAL,0.39,BAJA
2026-04-17 07:51:44,AVAXUSDT,FLUJO_NORMAL,0.06,BAJA
2026-04-17 07:52:47,BTCUSDT,FLUJO_NORMAL,1.07,BAJA
2026-04-17 07:52:47,ETHUSDT,FLUJO_NORMAL,0.65,BAJA
2026-04-17 07:52:47,SOLUSDT,FLUJO_NORMAL,0.8,BAJA
2026-04-17 07:52:47,BNBUSDT,FLUJO_NORMAL,0.62,BAJA
2026-04-17 07:52:47,AVAXUSDT,INYECCION_GAS,5.03,ALTA
2026-04-17 07:53:50,BTCUSDT,INYECCION_GAS,2.41,MEDIA
2026-04-17 07:53:50,ETHUSDT,FLUJO_NORMAL,1.49,BAJA
2026-04-17 07:53:50,SOLUSDT,FLUJO_NORMAL,0.74,BAJA
2026-04-17 07:53:50,BNBUSDT,FLUJO_NORMAL,1.7,BAJA
2026-04-17 07:53:50,AVAXUSDT,FLUJO_NORMAL,1.91,BAJA
2026-04-17 07:54:54,BTCUSDT,FLUJO_NORMAL,1.98,BAJA
2026-04-17 07:54:54,ETHUSDT,FLUJO_NORMAL,0.84,BAJA
2026-04-17 07:54:54,SOLUSDT,FLUJO_NORMAL,0.55,BAJA
2026-04-17 07:54:54,BNBUSDT,FLUJO_NORMAL,0.31,BAJA
2026-04-17 07:54:54,AVAXUSDT,FLUJO_NORMAL,0.75,BAJA
2026-04-17 07:55:57,BTCUSDT,FLUJO_NORMAL,0.96,BAJA
2026-04-17 07:55:57,ETHUSDT,FLUJO_NORMAL,0.64,BAJA
2026-04-17 07:55:57,SOLUSDT,FLUJO_NORMAL,1.13,BAJA
2026-04-17 07:55:57,BNBUSDT,FLUJO_NORMAL,1.02,BAJA
2026-04-17 07:55:57,AVAXUSDT,FLUJO_NORMAL,0.68,BAJA
2026-04-17 07:57:00,BTCUSDT,FLUJO_NORMAL,1.63,BAJA
2026-04-17 07:57:00,ETHUSDT,FLUJO_NORMAL,0.67,BAJA
2026-04-17 07:57:00,SOLUSDT,FLUJO_NORMAL,0.89,BAJA
2026-04-17 07:57:00,BNBUSDT,FLUJO_NORMAL,0.31,BAJA
2026-04-17 07:57:00,AVAXUSDT,FLUJO_NORMAL,1.04,BAJA
2026-04-17 07:58:04,BTCUSDT,FLUJO_NORMAL,0.61,BAJA
2026-04-17 07:58:04,ETHUSDT,FLUJO_NORMAL,0.53,BAJA
2026-04-17 07:58:04,SOLUSDT,FLUJO_NORMAL,0.55,BAJA
2026-04-17 07:58:04,BNBUSDT,FLUJO_NORMAL,0.18,BAJA
2026-04-17 07:58:04,AVAXUSDT,FLUJO_NORMAL,0.39,BAJA
2026-04-17 07:59:08,BTCUSDT,FLUJO_NORMAL,1.03,BAJA
2026-04-17 07:59:08,ETHUSDT,FLUJO_NORMAL,0.52,BAJA
2026-04-17 07:59:08,SOLUSDT,FLUJO_NORMAL,0.3,BAJA
2026-04-17 07:59:08,BNBUSDT,FLUJO_NORMAL,0.48,BAJA
2026-04-17 07:59:08,AVAXUSDT,FLUJO_NORMAL,0.0,BAJA
2026-04-17 08:00:12,BTCUSDT,FLUJO_NORMAL,0.42,BAJA
2026-04-17 08:00:12,ETHUSDT,INYECCION_GAS,2.08,MEDIA
2026-04-17 08:00:12,SOLUSDT,INYECCION_GAS,2.11,MEDIA
2026-04-17 08:00:12,BNBUSDT,FLUJO_NORMAL,0.62,BAJA
2026-04-17 08:00:12,AVAXUSDT,FLUJO_NORMAL,0.02,BAJA
2026-04-17 08:01:15,BTCUSDT,FLUJO_NORMAL,1.97,BAJA
2026-04-17 08:01:15,ETHUSDT,FLUJO_NORMAL,1.67,BAJA
2026-04-17 08:01:15,SOLUSDT,FLUJO_NORMAL,0.96,BAJA
2026-04-17 08:01:15,BNBUSDT,INYECCION_GAS,3.77,ALTA
2026-04-17 08:01:15,AVAXUSDT,INYECCION_GAS,3.15,ALTA
2026-04-17 08:02:18,BTCUSDT,FLUJO_NORMAL,1.01,BAJA
2026-04-17 08:02:18,ETHUSDT,INYECCION_GAS,3.5,ALTA
2026-04-17 08:02:18,SOLUSDT,INYECCION_GAS,2.28,MEDIA
2026-04-17 08:02:18,BNBUSDT,FLUJO_NORMAL,1.05,BAJA
2026-04-17 08:02:18,AVAXUSDT,FLUJO_NORMAL,1.79,BAJA
2026-04-17 08:03:21,BTCUSDT,FLUJO_NORMAL,1.06,BAJA
2026-04-17 08:03:21,ETHUSDT,INYECCION_GAS,2.36,MEDIA
2026-04-17 08:03:21,SOLUSDT,FLUJO_NORMAL,1.39,BAJA
2026-04-17 08:03:21,BNBUSDT,FLUJO_NORMAL,0.58,BAJA
2026-04-17 08:03:21,AVAXUSDT,FLUJO_NORMAL,0.57,BAJA
2026-04-17 08:04:25,BTCUSDT,FLUJO_NORMAL,0.88,BAJA
2026-04-17 08:04:25,ETHUSDT,FLUJO_NORMAL,0.88,BAJA
2026-04-17 08:04:25,SOLUSDT,FLUJO_NORMAL,0.44,BAJA
2026-04-17 08:04:25,BNBUSDT,FLUJO_NORMAL,1.07,BAJA
2026-04-17 08:04:25,AVAXUSDT,FLUJO_NORMAL,0.76,BAJA
2026-04-17 08:05:27,BTCUSDT,FLUJO_NORMAL,0.29,BAJA
2026-04-17 08:05:27,ETHUSDT,FLUJO_NORMAL,0.45,BAJA
2026-04-17 08:05:27,SOLUSDT,FLUJO_NORMAL,0.51,BAJA
2026-04-17 08:05:27,BNBUSDT,FLUJO_NORMAL,0.54,BAJA
2026-04-17 08:05:27,AVAXUSDT,FLUJO_NORMAL,0.1,BAJA
2026-04-17 08:06:31,BTCUSDT,FLUJO_NORMAL,0.31,BAJA
2026-04-17 08:06:31,ETHUSDT,FLUJO_NORMAL,0.35,BAJA
2026-04-17 08:06:31,SOLUSDT,INYECCION_GAS,4.0,ALTA
2026-04-17 08:06:31,BNBUSDT,FLUJO_NORMAL,0.62,BAJA
2026-04-17 08:06:31,AVAXUSDT,FLUJO_NORMAL,0.4,BAJA
2026-04-17 08:07:33,BTCUSDT,FLUJO_NORMAL,0.72,BAJA
2026-04-17 08:07:33,ETHUSDT,FLUJO_NORMAL,0.53,BAJA
2026-04-17 08:07:33,SOLUSDT,FLUJO_NORMAL,1.21,BAJA
2026-04-17 08:07:33,BNBUSDT,INYECCION_GAS,2.03,MEDIA
2026-04-17 08:07:33,AVAXUSDT,FLUJO_NORMAL,0.56,BAJA
2026-04-17 08:08:36,BTCUSDT,FLUJO_NORMAL,0.74,BAJA
2026-04-17 08:08:36,ETHUSDT,FLUJO_NORMAL,0.46,BAJA
2026-04-17 08:08:36,SOLUSDT,FLUJO_NORMAL,1.47,BAJA
2026-04-17 08:08:36,BNBUSDT,FLUJO_NORMAL,0.56,BAJA
2026-04-17 08:08:36,AVAXUSDT,FLUJO_NORMAL,1.26,BAJA
2026-04-17 08:09:40,BTCUSDT,FLUJO_NORMAL,1.4,BAJA
2026-04-17 08:09:40,ETHUSDT,FLUJO_NORMAL,1.15,BAJA
2026-04-17 08:09:40,SOLUSDT,FLUJO_NORMAL,0.37,BAJA
2026-04-17 08:09:40,BNBUSDT,FLUJO_NORMAL,0.34,BAJA
2026-04-17 08:09:40,AVAXUSDT,FLUJO_NORMAL,0.05,BAJA
2026-04-17 08:10:43,BTCUSDT,FLUJO_NORMAL,0.37,BAJA
2026-04-17 08:10:43,ETHUSDT,FLUJO_NORMAL,1.32,BAJA
2026-04-17 08:10:43,SOLUSDT,FLUJO_NORMAL,0.49,BAJA
2026-04-17 08:10:43,BNBUSDT,FLUJO_NORMAL,0.74,BAJA
2026-04-17 08:10:43,AVAXUSDT,FLUJO_NORMAL,0.54,BAJA
2026-04-17 08:11:46,BTCUSDT,FLUJO_NORMAL,1.26,BAJA
2026-04-17 08:11:46,ETHUSDT,FLUJO_NORMAL,0.56,BAJA
2026-04-17 08:11:46,SOLUSDT,FLUJO_NORMAL,1.29,BAJA
2026-04-17 08:11:46,BNBUSDT,FLUJO_NORMAL,0.76,BAJA
2026-04-17 08:11:46,AVAXUSDT,FLUJO_NORMAL,0.53,BAJA
2026-04-17 08:12:49,BTCUSDT,FLUJO_NORMAL,1.53,BAJA
2026-04-17 08:12:49,ETHUSDT,FLUJO_NORMAL,0.5,BAJA
2026-04-17 08:12:49,SOLUSDT,FLUJO_NORMAL,0.72,BAJA
2026-04-17 08:12:49,BNBUSDT,FLUJO_NORMAL,0.74,BAJA
2026-04-17 08:12:49,AVAXUSDT,FLUJO_NORMAL,1.99,BAJA
2026-04-17 08:13:52,BTCUSDT,FLUJO_NORMAL,1.95,BAJA
2026-04-17 08:13:52,ETHUSDT,FLUJO_NORMAL,1.56,BAJA
2026-04-17 08:13:52,SOLUSDT,FLUJO_NORMAL,1.55,BAJA
2026-04-17 08:13:52,BNBUSDT,FLUJO_NORMAL,0.78,BAJA
2026-04-17 08:13:52,AVAXUSDT,FLUJO_NORMAL,1.36,BAJA
2026-04-17 08:14:55,BTCUSDT,FLUJO_NORMAL,1.75,BAJA
2026-04-17 08:14:55,ETHUSDT,FLUJO_NORMAL,0.86,BAJA
2026-04-17 08:14:55,SOLUSDT,FLUJO_NORMAL,1.35,BAJA
2026-04-17 08:14:55,BNBUSDT,FLUJO_NORMAL,0.87,BAJA
2026-04-17 08:14:55,AVAXUSDT,FLUJO_NORMAL,1.18,BAJA
