close,ema_50,ema_200,rsi
87.24,84.76,83.95,47.24
88.05,84.76,83.95,47.24
88.31,84.76,83.95,47.24
88.18,84.76,83.95,47.24
87.37,84.76,83.95,47.24
86.87,84.76,83.95,47.24
85.79,84.76,83.95,47.24
85.9,84.76,83.95,47.24
85.81,84.76,83.95,47.24
86.35,84.76,83.95,47.24
85.3,84.76,83.95,47.24
86.12,84.76,83.95,47.24
85.69,84.76,83.95,47.24
85.51,84.76,83.95,47.24
86.19,84.76,83.95,47.24
86.52,84.76,83.95,47.24
86.33,84.76,83.95,47.24
86.18,84.76,83.95,47.24
86.46,84.76,83.95,47.24
86.36,84.76,83.95,47.24
86.36,84.76,83.95,47.24
86.22,84.76,83.95,47.24
85.68,84.76,83.95,47.24
