timestamp,symbol,obi,interpretacion
2026-04-17 00:54:38,BTCUSDT,OBI:-0.7911,FUERTEMENTE_VENTA
2026-04-17 00:54:39,ETHUSDT,OBI:-0.7497,FUERTEMENTE_VENTA
2026-04-17 00:54:40,SOLUSDT,OBI:-0.2003,VENTA
2026-04-17 00:54:40,BNBUSDT,OBI:0.1902,COMPRA
2026-04-17 00:59:42,BTCUSDT,OBI:0.1592,COMPRA
2026-04-17 00:59:43,ETHUSDT,OBI:-0.5496,FUERTEMENTE_VENTA
2026-04-17 00:59:43,SOLUSDT,OBI:-0.1164,VENTA
2026-04-17 00:59:43,BNBUSDT,OBI:0.0479,NEUTRAL
2026-04-17 01:04:44,BTCUSDT,OBI:-0.3888,FUERTEMENTE_VENTA
2026-04-17 01:04:44,ETHUSDT,OBI:-0.3236,FUERTEMENTE_VENTA
2026-04-17 01:04:44,SOLUSDT,OBI:-0.0536,NEUTRAL
2026-04-17 01:04:45,BNBUSDT,OBI:0.4127,FUERTEMENTE_COMPRA
2026-04-17 01:09:45,BTCUSDT,OBI:0.6738,FUERTEMENTE_COMPRA
2026-04-17 01:09:45,ETHUSDT,OBI:0.9869,FUERTEMENTE_COMPRA
2026-04-17 01:09:46,SOLUSDT,OBI:-0.0267,NEUTRAL
2026-04-17 01:09:46,BNBUSDT,OBI:0.0223,NEUTRAL
2026-04-17 01:14:46,BTCUSDT,OBI:-0.0809,NEUTRAL
2026-04-17 01:14:46,ETHUSDT,OBI:0.7706,FUERTEMENTE_COMPRA
2026-04-17 01:14:47,SOLUSDT,OBI:0.2721,COMPRA
2026-04-17 01:14:48,BNBUSDT,OBI:0.0956,NEUTRAL
2026-04-17 01:19:48,BTCUSDT,OBI:-0.3564,FUERTEMENTE_VENTA
2026-04-17 01:19:49,ETHUSDT,OBI:0.5419,FUERTEMENTE_COMPRA
2026-04-17 01:19:49,SOLUSDT,OBI:0.1704,COMPRA
2026-04-17 01:19:49,BNBUSDT,OBI:-0.0836,NEUTRAL
2026-04-17 01:24:49,BTCUSDT,OBI:-0.8517,FUERTEMENTE_VENTA
2026-04-17 01:24:50,ETHUSDT,OBI:0.3086,FUERTEMENTE_COMPRA
2026-04-17 01:24:51,SOLUSDT,OBI:0.192,COMPRA
2026-04-17 01:24:51,BNBUSDT,OBI:-0.4364,FUERTEMENTE_VENTA
2026-04-17 01:29:51,BTCUSDT,OBI:0.8685,FUERTEMENTE_COMPRA
2026-04-17 01:29:51,ETHUSDT,OBI:0.909,FUERTEMENTE_COMPRA
2026-04-17 01:29:52,SOLUSDT,OBI:0.243,COMPRA
2026-04-17 01:29:52,BNBUSDT,OBI:0.1476,COMPRA
2026-04-17 01:34:52,BTCUSDT,OBI:0.5711,FUERTEMENTE_COMPRA
2026-04-17 01:34:53,ETHUSDT,OBI:0.6869,FUERTEMENTE_COMPRA
2026-04-17 01:34:53,SOLUSDT,OBI:0.262,COMPRA
2026-04-17 01:34:53,BNBUSDT,OBI:-0.3237,FUERTEMENTE_VENTA
2026-04-17 01:39:53,BTCUSDT,OBI:-0.9913,FUERTEMENTE_VENTA
2026-04-17 01:39:54,ETHUSDT,OBI:-0.979,FUERTEMENTE_VENTA
2026-04-17 01:39:54,SOLUSDT,OBI:0.2164,COMPRA
2026-04-17 01:39:54,BNBUSDT,OBI:-0.6119,FUERTEMENTE_VENTA
2026-04-17 01:44:55,BTCUSDT,OBI:0.8804,FUERTEMENTE_COMPRA
2026-04-17 01:44:55,ETHUSDT,OBI:-0.9157,FUERTEMENTE_VENTA
2026-04-17 01:44:55,SOLUSDT,OBI:0.2583,COMPRA
2026-04-17 01:44:57,BNBUSDT,OBI:0.383,FUERTEMENTE_COMPRA
2026-04-17 01:49:57,BTCUSDT,OBI:-0.8628,FUERTEMENTE_VENTA
2026-04-17 01:49:57,ETHUSDT,OBI:-0.6504,FUERTEMENTE_VENTA
2026-04-17 01:49:58,SOLUSDT,OBI:0.1556,COMPRA
2026-04-17 01:49:58,BNBUSDT,OBI:0.0243,NEUTRAL
2026-04-17 01:54:59,BTCUSDT,OBI:0.4029,FUERTEMENTE_COMPRA
2026-04-17 01:54:59,ETHUSDT,OBI:0.9858,FUERTEMENTE_COMPRA
2026-04-17 01:54:59,SOLUSDT,OBI:0.159,COMPRA
2026-04-17 01:54:59,BNBUSDT,OBI:-0.0815,NEUTRAL
2026-04-17 02:00:00,BTCUSDT,OBI:-0.2838,VENTA
2026-04-17 02:00:00,ETHUSDT,OBI:-0.2624,VENTA
2026-04-17 02:00:01,SOLUSDT,OBI:0.086,NEUTRAL
2026-04-17 02:00:01,BNBUSDT,OBI:0.0787,NEUTRAL
2026-04-17 02:05:01,BTCUSDT,OBI:0.1396,COMPRA
2026-04-17 02:05:02,ETHUSDT,OBI:-0.6746,FUERTEMENTE_VENTA
2026-04-17 02:05:03,SOLUSDT,OBI:0.1423,COMPRA
2026-04-17 02:05:04,BNBUSDT,OBI:0.073,NEUTRAL
2026-04-17 02:10:04,BTCUSDT,OBI:0.5604,FUERTEMENTE_COMPRA
2026-04-17 02:10:04,ETHUSDT,OBI:-0.0302,NEUTRAL
2026-04-17 02:10:05,SOLUSDT,OBI:0.099,NEUTRAL
2026-04-17 02:10:05,BNBUSDT,OBI:-0.1688,VENTA
2026-04-17 02:15:07,BTCUSDT,OBI:0.4056,FUERTEMENTE_COMPRA
2026-04-17 02:15:08,ETHUSDT,OBI:0.0842,NEUTRAL
2026-04-17 02:15:09,SOLUSDT,OBI:0.0611,NEUTRAL
2026-04-17 02:15:09,BNBUSDT,OBI:-0.0174,NEUTRAL
2026-04-17 02:20:11,BTCUSDT,OBI:-0.1384,VENTA
2026-04-17 02:20:11,ETHUSDT,OBI:-0.8211,FUERTEMENTE_VENTA
2026-04-17 02:20:11,SOLUSDT,OBI:0.0338,NEUTRAL
