close,ema_50,ema_200,rsi
628.66,625.6,615.75,42.53
628.53,625.6,615.75,42.53
628.63,625.6,615.75,42.53
632.52,625.6,615.75,42.53
632.54,625.6,615.75,42.53
632.29,625.6,615.75,42.53
635.89,625.6,615.75,42.53
635.76,625.6,615.75,42.53
638.27,625.6,615.75,42.53
625.87,625.6,615.75,42.53
627.4,625.6,615.75,42.53
620.94,625.6,615.75,42.53
623.53,625.6,615.75,42.53
626.83,625.6,615.75,42.53
624.52,625.6,615.75,42.53
624.26,625.6,615.75,42.53
621.85,625.6,615.75,42.53
622.82,625.6,615.75,42.53
624.17,625.6,615.75,42.53
624.55,625.6,615.75,42.53
626.05,625.6,615.75,42.53
625.13,625.6,615.75,42.53
626.02,625.6,615.75,42.53
616.51,625.6,615.75,42.53
613.31,625.6,615.75,42.53
617.39,625.6,615.75,42.53
617.88,625.6,615.75,42.53
617.5,625.6,615.75,42.53
615.63,625.6,615.75,42.53
617.1,625.6,615.75,42.53
617.72,625.6,615.75,42.53
